VMs,TimeWindow,Model,Score,BestParams
plab2_larc_usp_br_uw_oneswarm,10,LinearRegression,0.004496956,None
plab2_nec-labs_com_arizona_owl,15,AdaBooster,0.026339616,"{'learning_rate': 0.3, 'loss': 'linear', 'n_estimators': 20}"
plab2_nec-labs_com_howard_p2psip,20,AdaBooster,0.02591731,"{'learning_rate': 0.3, 'loss': 'linear', 'n_estimators': 20}"
plab2_nec-labs_com_nyu_d,3,GradientBoosting,0.00073667,"{'min_samples_split': 7, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 7, 'learning_rate': 0.1, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 20}"
plab2_nec-labs_com_uw_oneswarm,20,DNN,0.030137038,7
plab3_eece_ksu_edu_princeton_codeen,15,RandomForest,0.001778862,"{'bootstrap': True, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_depth': None, 'n_estimators': 200}"
plab3_eece_ksu_edu_root,4,GradientBoosting,0.009854796,"{'min_samples_split': 3, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 8, 'min_samples_leaf': 3, 'learning_rate': 0.1, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 20}"
plab3_eece_ksu_edu_tum_i2p,1,GradientBoosting,0.001265909,"{'min_samples_split': 5, 'warm_start': False, 'loss': 'ls', 'max_leaf_nodes': 6, 'min_samples_leaf': 9, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'auto', 'n_estimators': 10}"
plab4_eece_ksu_edu_princeton_codeen,20,LinearRegression,0.001846815,None
plab4_eece_ksu_edu_root,4,GradientBoosting,0.010874369,"{'min_samples_split': 3, 'warm_start': False, 'loss': 'ls', 'max_leaf_nodes': 2, 'min_samples_leaf': 1, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 10}"
